,City_Name,Country_Code,Latitude,Longitude,Temperature_(F),Humidity_(%),Cloudiness_(%),Wind_Speed_(mph)
0,ushuaia,ar,-54.8,-68.3,42.8,87,75,17.22
1,pochutla,mx,10.54,-96.78,,,,
2,rikitea,pf,-23.12,-134.97,75.78,100,88,12.77
3,hermanus,za,-34.42,19.23,50.04,98,0,2.1
4,lebu,cl,-37.62,-73.65,54.22,93,0,18.59
5,punta arenas,cl,-53.15,-70.92,48.2,76,75,4.7
6,kirakira,sb,-10.45,161.92,79.42,100,92,12.1
7,puerto escondido,mx,15.85,-97.07,77,78,8,5.91
8,narsaq,gl,60.92,-46.05,30.2,80,92,8.05
9,tekax,mx,19.97,-89.44,,,,
10,aqtobe,kz,50.28,57.21,14,92,90,2.24
11,busselton,au,-33.65,115.33,74.92,76,0,14.18
12,tynda,ru,55.17,124.72,-15.53,64,8,4.38
13,hobart,au,-42.88,147.33,57.2,71,75,19.46
14,umm lajj,sa,25.02,37.27,66.46,100,0,13.78
15,johnstown,us,40.33,-78.92,31.98,80,1,2.26
16,codrington,ag,25.63,-53.47,,,,
17,berlevag,no,70.86,29.09,28.3,100,24,24.14
18,new norfolk,au,-42.78,147.06,57.2,71,75,19.46
19,taltal,cl,-25.4,-70.48,52.24,89,36,1.88
20,taolanaro,mg,-46.92,51.94,,,,
21,avarua,ck,-21.21,-159.78,77,73,75,12.75
22,belushya guba,ru,72.78,47.38,,,,
23,ulverstone,au,-41.15,146.17,61.15,75,92,9.04
24,albany,au,-35.02,117.89,72.54,54,0,12.84
25,upernavik,gl,72.79,-56.15,29.56,94,0,16.69
26,lavrentiya,ru,65.58,-171.0,32.22,97,92,30.96
27,aberdeen,us,45.46,-98.49,23,79,1,5.82
28,chokurdakh,ru,70.63,147.92,1.08,82,80,6.62
29,flin flon,ca,54.77,-101.86,18.54,77,12,4.5
30,sentyabrskiy,ru,34.18,156.3,,,,
31,bjornevatn,no,69.67,29.98,26.6,86,88,17.22
32,hambantota,lk,6.12,81.12,74.43,100,80,4.72
33,chuy,uy,-33.7,-53.46,63.76,87,0,15.41
34,rochegda,ru,62.8,43.25,29.29,89,92,15.97
35,siniscola,it,40.57,9.69,46.4,87,40,3.36
36,kyshtovka,ru,56.55,76.63,9.63,85,76,2.77
37,tsihombe,mg,-46.14,47.17,,,,
38,arraial do cabo,br,-22.97,-42.03,70.96,100,92,6.35
39,sochi,ru,43.6,39.73,37.4,86,0,2.24
40,vaini,to,-21.2,-175.2,82.4,78,90,4.7
41,turukhansk,ru,65.82,87.98,9.49,77,92,11.83
42,butaritari,ki,3.07,172.79,83.34,100,88,12.66
43,sorvag,fo,63.35,-9.64,,,,
44,port alfred,za,-33.59,26.89,68.22,100,92,11.16
45,zlatoustovsk,ru,53.2,133.85,,,,
46,piranhas,br,-16.43,-51.82,68.4,97,92,3.6
47,yar-sale,ru,66.83,70.83,11.47,78,24,10.87
48,qaanaaq,gl,77.48,-69.36,2.52,93,64,3.27
49,porto nacional,br,-10.71,-48.42,71.6,100,40,6.93
50,illoqqortoormiut,gl,86.15,-7.83,,,,
51,castro,cl,-42.47,-73.77,50.04,76,0,8.37
52,yellowknife,ca,62.46,-114.35,-2.21,84,90,4.7
53,dikson,ru,73.51,80.55,26.95,100,92,18.21
54,muros,es,42.78,-9.06,35.6,100,20,2.24
55,tumannyy,ru,86.98,39.7,,,,
